arbeitet, mit
atmet, ein
baut, Gras an
befriedigt sich, selbst
bereitet sich, vor
bildet sich, fort
bricht, ein
bringt ihn, um
bringt sich, um
bringt sie, um
denkt, nach
dringt, ein
fasst, zu
fällt, auf
fällt, hin
geht, ab
geht, aus
geilt sich, auf
gibt, an
gibt, auf
guckt, hin
hat, was vor
hält, durch
hängt sich, auf
hört, mit
hört, zu
kam, an
kauft, ein
klappt, zusammen
kommt, an
kommt, mit
kommt, vorbei
lacht sich, tot
macht ihn, an
macht sie, an
macht, mit
macht, rum
räumt, auf
schläft, ein
schwitzt, beim Kacken
sieht, aus
singt, mit
spielt, mit
steht, auf
tritt, bei
wird, angefasst
wird, angepisst
wird, angesehen
wird, gebumst
wird, gefoltert
wird, gehasst
wird, geschlagen
zieht dich, ab
zieht sich, an
zieht sich, aus
